"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
food_embed,ernaehrung,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Ab welchem Monat hat Ihr Kind folgende Kost erhalten?</span></p> <table style=""border-collapse: collapse; width: 100%; height: 396px;"" border=""1""> <tbody> <tr style=""height: 22px;""> <td style=""width: 25.8111%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Säuglingsflaschennahrung </span></td> <td style=""width: 6.7216%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodinfantbottle}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;"">Lebensmonat</span></td> <td style=""width: 42.1829%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodinfantbottleage}</span></td> </tr> <tr style=""height: 44px;""> <td style=""width: 25.8111%; height: 44px; border-style: hidden;""><span style=""font-weight: normal;"">Hypoallergene Flaschennahrung</span></td> <td style=""width: 6.7216%; height: 44px; border-style: hidden;""><span style=""font-weight: normal;"">{foodhypobottle}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;""> Lebensmonat</span></td> <td style=""width: 42.1829%; height: 44px; border-style: hidden;""><span style=""font-weight: normal;"">{foodhypobottleage}</span></td> </tr> <tr style=""height: 44px;""> <td style=""width: 25.8111%; height: 44px; border-style: hidden;""><span style=""font-weight: normal;"">Probiotische Flaschennahrung</span></td> <td style=""width: 6.7216%; height: 44px; border-style: hidden;""><span style=""font-weight: normal;"">{foodprobiobottle}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;""> Lebensmonat</span></td> <td style=""width: 42.1829%; height: 44px; border-style: hidden;""><span style=""font-weight: normal;"">{foodprobiobottleage}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 25.8111%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Vollmilch</span></td> <td style=""width: 6.7216%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodmilk}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;""> Lebensmonat</span></td> <td style=""width: 42.1829%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodmilkage}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 25.8111%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Laktosefreie Milch</span></td> <td style=""width: 6.7216%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodmilklactose}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;""> Lebensmonat</span></td> <td style=""width: 42.1829%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodmilklactoseage}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 25.8111%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Sojamilch</span></td> <td style=""width: 6.7216%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodmilksoy}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;""> Lebensmonat</span></td> <td style=""width: 42.1829%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodmilksoyage}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 25.8111%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Fleischhaltige Kost</span></td> <td style=""width: 6.7216%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodmeat}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;""> Lebensmonat</span></td> <td style=""width: 42.1829%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodmeatage}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 25.8111%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Milchbrei</span></td> <td style=""width: 6.7216%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodmilkmash}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;""> Lebensmonat</span></td> <td style=""width: 42.1829%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodmilkmashage}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 25.8111%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Milchfreier Brei</span></td> <td style=""width: 6.7216%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodmilkfreemash}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;""> Lebensmonat</span></td> <td style=""width: 42.1829%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodmilkfreemashage}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 25.8111%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Gemüsebrei, Gemüse</span></td> <td style=""width: 6.7216%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodveggiemash}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;""> Lebensmonat</span></td> <td style=""width: 42.1829%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodveggiemashage}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 25.8111%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Fruchtsaft-(getränke)</span></td> <td style=""width: 6.7216%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodjuicemash}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;""> Lebensmonat</span></td> <td style=""width: 42.1829%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodjuicemashage}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 25.8111%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Früchte</span></td> <td style=""width: 6.7216%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodfruit}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;""> Lebensmonat</span></td> <td style=""width: 42.1829%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodfruitage}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 25.8111%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Vollkornprodukte</span></td> <td style=""width: 6.7216%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodwholemeal}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;""> Lebensmonat</span></td> <td style=""width: 42.1829%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodwholemealage}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 25.8111%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Tee (gesüßt)</span></td> <td style=""width: 6.7216%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodsweettea}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;""> Lebensmonat</span></td> <td style=""width: 42.1829%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodsweetteaage}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 25.8111%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Tee (ungesüßt)</span></td> <td style=""width: 6.7216%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodtea}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;""> Lebensmonat</span></td> <td style=""width: 42.1829%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodteaage}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 25.8111%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">Familienkost</span></td> <td style=""width: 6.7216%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodfamily}</span></td> <td style=""width: 25.2842%; border-style: hidden;""><span style=""font-weight: normal;""> Lebensmonat</span></td> <td style=""width: 42.1829%; height: 22px; border-style: hidden;""><span style=""font-weight: normal;"">{foodfamilyage}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
foodinfantbottle,ernaehrung,,radio,"Säuglingsflaschennahrung ","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodinfantbottleage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
foodhypobottle,ernaehrung,,radio,"Hypoallergene Flaschennahrung","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodhypobottleage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
foodprobiobottle,ernaehrung,,radio,"Probiotische Flaschennahrung","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodprobiobottleage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
foodmilk,ernaehrung,,radio,Vollmilch,"1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodmilkage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
foodmilklactose,ernaehrung,,radio,"Laktosefreie Milch","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodmilklactoseage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
foodmilksoy,ernaehrung,,radio,Sojamilch,"1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodmilksoyage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
foodmeat,ernaehrung,,radio,"Fleischhaltige Kost","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodmeatage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
foodmilkmash,ernaehrung,,radio,Milchbrei,"1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodmilkmashage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
foodmilkfreemash,ernaehrung,,radio,"Milchfreier Brei","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodmilkfreemashage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
foodveggiemash,ernaehrung,,radio,"Gemüsebrei, Gemüse","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodveggiemashage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
foodjuicemash,ernaehrung,,radio,Fruchtsaft-(getränke),"1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodjuicemashage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
foodfruit,ernaehrung,,radio,Früchte,"1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodfruitage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
foodwholemeal,ernaehrung,,radio,Vollkornprodukte,"1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodwholemealage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
foodsweettea,ernaehrung,,radio,"Tee (gesüßt)","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodsweetteaage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
foodtea,ernaehrung,,radio,"Tee (ungesüßt)","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodteaage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
foodfamily,ernaehrung,,radio,Familienkost,"1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodfamilyage,ernaehrung,,text,"Ab welchem Lebensmonat?",,,number,-100,100,,,,,,,,
food_embed_2,ernaehrung,,descriptive,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Hat Ihr Kind eine Ernährung:</span></p> <table style=""border-collapse: collapse; width: 98.0324%;"" border=""1""> <tbody> <tr> <td style=""width: 36.2518%; border-style: hidden;"">Ohne <span style=""font-weight: normal;"">Fleisch, Geflügel und Wurst</span></td> <td style=""width: 63.7482%; border-style: hidden;""><span style=""font-weight: normal;"">{foodnomeat}</span></td> </tr> <tr> <td style=""width: 36.2518%; border-style: hidden;"">Ohne <span style=""font-weight: normal;"">Fisch</span></td> <td style=""width: 63.7482%; border-style: hidden;""><span style=""font-weight: normal;"">{foodnofish}</span></td> </tr> <tr> <td style=""width: 36.2518%; border-style: hidden;"">Ohne <span style=""font-weight: normal;"">Milch und Milchprodukte</span></td> <td style=""width: 63.7482%; border-style: hidden;""><span style=""font-weight: normal;"">{foodnomilk}</span></td> </tr> <tr> <td style=""width: 36.2518%; border-style: hidden;"">Ohne <span style=""font-weight: normal;"">Eier</span></td> <td style=""width: 63.7482%; border-style: hidden;""><span style=""font-weight: normal;"">{foodnoeggs}</span></td> </tr> <tr> <td style=""width: 36.2518%; border-style: hidden;"">Ohne <span style=""font-weight: normal;"">Weizen</span></td> <td style=""width: 63.7482%; border-style: hidden;""><span style=""font-weight: normal;"">{foodnowheat}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
foodnomeat,ernaehrung,,radio,"Ohne Fleisch, Geflügel und Wurst","1, Ja | 0, Nein | 2, Weiß nicht | -99, Fehlende Antwort",,,,,,,,,,ernaehrung_10_6,,
foodnofish,ernaehrung,,radio,"Ohne Fisch","1, Ja | 0, Nein | 2, Weiß nicht | -99, Fehlende Antwort",,,,,,,,,,ernaehrung_10_6,,
foodnomilk,ernaehrung,,radio,"Ohne Milch und Milchprodukte","1, Ja | 0, Nein | 2, Weiß nicht | -99, Fehlende Antwort",,,,,,,,,,ernaehrung_10_6,,
foodnoeggs,ernaehrung,,radio,"Ohne Eier","1, Ja | 0, Nein | 2, Weiß nicht | -99, Fehlende Antwort",,,,,,,,,,ernaehrung_10_6,,
foodnowheat,ernaehrung,,radio,"Ohne Weizen","1, Ja | 0, Nein | 2, Weiß nicht | -99, Fehlende Antwort",,,,,,,,,,ernaehrung_10_6,,
foodproblems,ernaehrung,,radio,"Gab/Gibt es Probleme beim Füttern? (z.B. Lässt sich schwer füttern...)","1, Ja {foodproblemsnum} mal | 0, Nein | -99, Fehlende Antwort",,,,,,,,LV,,,,
foodproblemsnum,ernaehrung,,text,"Wie oft traten die Probleme auf?",,,number,-100,100,,,,,,,," @PLACEHOLDER = 'wie oft'"
foodswallow,ernaehrung,,radio,"Hat/Hatte Ihr Kind Schluckbeschweren? ","1, Ja {foodswallownum} mal | 0, Nein | -99, Fehlende Antwort",,,,,,,,LV,,,,
foodswallownum,ernaehrung,,text,"Wie oft traten die Probleme auf?",,,number,-100,100,,,,,,,," @PLACEHOLDER = 'wie oft'"
ribi_header,retrospective_infant_behaviour_inhibition_scale_ri,,descriptive,"Auf der folgenden Seite finden Sie Aussagen, die eine bestimmte Gruppe von Verhaltensweisen von Kindern im Alter von 1 bis 2 Jahren beschreiben. 
Bitte versuchen Sie Ihr Kind so zu beschreiben, wie es damals war, unabhängig davon, wie es sich später entwickelt hat. Zum einen geht es darum, inwieweit sich Ihr Kind damals unbehaglich gefühlt oder empfindlich reagiert hat, wenn es neue oder unerwartete Dinge erlebt hat. Zum anderen darum, wie schüchtern Ihr Kind damals auf fremde Menschen reagiert hat.
Bitte lesen Sie jede Aussage durch und kreuzen Sie dann an, welche Antwort für Ihr/ das Kind am besten zutrifft. Es gibt keine ""richtigen"" oder ""falschen"" Antworten. Bitte beantworten Sie jede Aussage, auch wenn Sie sich mit der Antwort nicht ganz sicher sind.",,,,,,,,,,,,,
ribi_embed,retrospective_infant_behaviour_inhibition_scale_ri,,descriptive,"<div class=""rich-text-field-label""><p> </p> <p>Mein Kind mit 1 - 2 Jahren ...</p> <table style=""border-collapse: collapse; width: 100%;"" border=""1""> <tbody> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Bei lauten Geräuschen (Staubsauger, Radio etc.) fühlte es sich unbehaglich (hat geweint, wollte weg).</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_staticloud}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Bei plötzlichen lauten Geräuschen (Sirene, Tür knallen etc.) ist es schnell erschrocken.</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_suddenloud}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Wenn es plötzlich hochgenommen oder bewegt wurde, ist es schnell erschrocken.</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_fastmove}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Wenn es Baden sollte, ist es bei Wasserkontakt schnell erschrocken (hat sich versteift, wollte weg).</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_water}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Neuen Dingen (z.B.: in der Wohung) hat es sich nur langsam angenähert.</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_new}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">In einer neuen Umgebung hat es sich erst eine zeitlang unbehaglich gefühlt, bevor es auf ""Entdeckungsreise"" ging.</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_newenvironment}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Auf eine Veränderung im Erscheinungsbild eines Elternteils (Bart ab, Brille auf, neue Haarfarbe etc.) hat es mit Weinen oder Unbehagen reagiert.</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_newstyle}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Beim Spaziergang hat es sich schnell und besorgt auf neue Dinge zubewegt.</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_walk}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Sobald es klettern konnte, war es schneller ""oben"", als man schauen konnte.</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_climb}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Im Allgemeinen hat es sich draußen in der Nähe der Bezugspersonen aufgehalten, um nicht, ""verloren zu gehen"".</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_nearby}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Im Allgemeinen hat es sich vorsichtig verhalten, um sich nicht zu verletzen.</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_caution}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Mit neuen Erwachsenen wollte es anfangs gar keinen Kontakt aufnehmen (Blickkontakt, Hand geben etc.).</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_otheradult}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Es hat geweint oder wendete sich ab, wenn neue Erwachsene es auf den Arm nehmen wollten.</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_otheradultcry}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Es hat sich an die Eltern geklammert oder hinter den Beinen versteckt, wenn fremde Erwachsene es direkt angesprochen haben.</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_otheradulthide}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Wenn jemand Fremdes zu Besuch kam, hat es sich der Person gleich neugierig genähert.</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_otheradultcheck}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Wenn fremde Erwachsene zu Besuch kamen, hat es diese sofort in sein Spiel oder seine aktuelle Beschäftigung einbezogen.</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_otheradultplay}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Wenn es fremde Kinder traf, ist es von sich aus auf diese zugegangen und wollte zusammen spielen.</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_otherchildplay}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Wenn es fremde Kinder traf, brauchte es ziemlich lange, um ""aufzutauen"".</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_otherchildshy}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">In neuen Umgebungen wurde es sehr anklammernd (wollte fortwährend auf den Arm, auf den Schoss etc.).</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_newenvshy}</span></td> </tr> <tr> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">Wenn fremde Leute anwesend waren, wurde es zurückhaltender (hat sich zurückgezogen, nicht mehr geredet etc.)</span></td> <td style=""width: 50%; border-style: dotted;""><span style=""font-weight: normal;"">{ribi_otheradultshy}</span></td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
ribi_staticloud,retrospective_infant_behaviour_inhibition_scale_ri,,radio,"Bei lauten Geräuschen (Staubsauger, Radio etc.) fühlte es sich unbehaglich (hat geweint, wollte weg).","0, Ja | 1, eher Ja | 2, teils/teils | 3, eher Nein | 4, Nein | -99, Fehlende Antwort",,,,,,,,,,ribi,,
ribi_suddenloud,retrospective_infant_behaviour_inhibition_scale_ri,,radio,"Bei plötzlichen lauten Geräuschen (Sirene, Tür knallen etc.) ist es schnell erschrocken.","0, Ja | 1, eher Ja | 2, teils/teils | 3, eher Nein | 4, Nein | -99, Fehlende Antwort",,,,,,,,,,ribi,,
ribi_fastmove,retrospective_infant_behaviour_inhibition_scale_ri,,radio,"Wenn es plötzlich hochgenommen oder bewegt wurde, ist es schnell erschrocken.","0, Ja | 1, eher Ja | 2, teils/teils | 3, eher Nein | 4, Nein | -99, Fehlende Antwort",,,,,,,,,,ribi,,
